"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.082389831543","19.2789192199707","21.8227596282959","21.3203907012939","19.7571506500244","","14.8978595733643","18.9007091522217","","20.7887992858887","19.0361995697021","21.537260055542","22.1436595916748","21.7454605102539","20.6340808868408","21.8745899200439","19.612720489502","22.8549900054932","21.3665504455566","","","","",
"Africa Eastern and Southern","AFE","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.8905096054077","","","","18.0015392303467","18.1431407928467","18.0049896240234","","17.0822248458862","","17.2240295410156","17.0224695205689","18.5568056106568","17.2432594299316","18.0970993041992","16.9629096984863","17.1988105773926","16.7732000350952","17.01243019104","15.3222951889038","",
"Afghanistan","AFG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0675601959229","16.0484294891357","","14.1028003692627","14.4659299850464","12.5089998245239","13.0909996032715","12.0332002639771","11.6960601806641","11.3437700271606","10.2538604736328",
"Africa Western and Central","AFW","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8203601837158","15.3238096237183","15.7315249443055","14.5252103805542","16.4000196456909","17.0555248260498","16.9791898727417","17.9546394348145","18.0091695785522","18.0316905975342","18.1756191253662","17.6112308502197","15.1183300018311","15.1762199401855","16.1652793884277","15.091739654541","13.243989944458","12.8473448753357","16.2105941772461","16.3399696350098","14.1593904495239","14.3899097442627",
"Angola","AGO","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.11467981338501","","5.2550802230835","","","","","7.99235010147095","7.45479011535645","","","","8.68476963043213","8.95849990844727","9.86478042602539","9.69355964660645","7.13229990005493","8.91878032684326","6.55097007751465","6.76378011703491","5.41023015975952","6.04536008834839","6.46722984313965",
"Albania","ALB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1533899307251","9.6240701675415","9.68245983123779","10.1370296478271","10.5819301605225","9.88691997528076","10.5735998153687","10.7031602859497","11.3579702377319","10.9329500198364","11.1771898269653","","","","","","12.1239099502563","","11.1775503158569","13.596960067749","12.3908004760742","","13.4354696273804","",
"Andorra","AND","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4530801773071","","","","6.19552993774414","13.3152103424072","10.4428100585938","9.99098014831543","9.39243984222412","13.4619197845459","10.8952398300171","8.99186992645264",
"Arab World","ARB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7487096786499","","","","12.489239692688","","","","","","","","","9.84932994842531","","10.2280197143555","",
"United Arab Emirates","ARE","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2676601409912","",
"Argentina","ARG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3987703323364","","15.6212596893311","15.8775396347046","16.2261505126953","16.3559608459473","16.4422092437744","14.3547201156616","15.1393003463745","15.8031702041626","15.5098400115967","15.1015701293945","15.7478399276733","16.0206699371338","15.0479698181152","15.1585597991943","14.5182600021362","14.4579296112061","13.7993297576904","13.9633102416992","13.3555402755737","13.2639198303223","12.5233402252197","12.5300703048706","",
"Armenia","ARM","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6480903625488","13.578519821167","13.4655895233154","14.2684497833252","13.4512195587158","12.4005098342896","12.5933399200439","12.3689699172974","11.1367597579956","9.36711978912354","10.6563596725464","10.1971998214722","10.4031295776367","8.98857975006104","","8.68249034881592",
"American Samoa","ASM","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4394102096558","","","11.7015399932861","","","","","","","6.92814016342163","","","","","","","6.76265001296997","7.39179992675781","7.23061990737915","8.54749011993408","8.94178009033203",
